,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
0,4,3,0.0,8450,7,7,3,3.5,7,3.5,0.5440680443502757,1.0942099534498255,3,1.1610124673959046,7,1,2003,2003,0.9478378436248188,0.9938231854706513,1.1813590990208676,1.1313869052363548,103.68526170798899,1.2803005701234065,1.0172102574831825,1.2449090938831395,1.120313614813686,1.0149867736409819,1.0,1.3011948043848354,706,1.008789213181133,0,150,856,1.0060799923542767,1.1878897223295897,1.029103908880242,1.0325525239526936,856,854,0,1710,1,0,2,1,3,1,1.1724221855092622,8,1.013862119118048,0,0.9480673434968409,1.074564382737556,2003.0,1.1168888679613043,2,548,1.0092342322053793,1.0115851166802203,1.0304706033091076,0,61,0,0,0,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,0,2,2008,0.9584384834985059,0.9683896829793187
1,3,3,0.0,9600,7,7,3,3.5,7,4,0.5440680443502757,1.3197609384439324,3,0.9727189625036077,6,0,1976,1976,0.9478378436248188,0.9938231854706513,0.8258964713191288,0.8675503295608331,103.68526170798899,0.7978131736052377,1.0172102574831825,0.8280163845577415,1.120313614813686,1.0149867736409819,1.0,0.89305770607269,978,1.008789213181133,0,284,1262,1.0060799923542767,1.1878897223295897,1.029103908880242,1.0325525239526936,1262,0,0,1262,0,1,2,0,3,1,0.7736103604433672,6,1.013862119118048,1,1.1370889287206782,1.074564382737556,1976.0,1.1168888679613043,2,460,1.0092342322053793,1.0115851166802203,1.0304706033091076,298,0,0,0,0,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,0,5,2007,0.9584384834985059,0.9683896829793187
2,4,3,0.0,11250,7,7,4,3.5,7,3.5,0.5440680443502757,1.0942099534498255,3,1.1610124673959046,7,1,2001,2002,0.9478378436248188,0.9938231854706513,1.1813590990208676,1.1313869052363548,103.68526170798899,1.2803005701234065,1.0172102574831825,1.2449090938831395,1.120313614813686,1.0149867736409819,1.0,1.3011948043848354,486,1.008789213181133,0,434,920,1.0060799923542767,1.1878897223295897,1.029103908880242,1.0325525239526936,920,866,0,1786,1,0,2,1,3,1,1.1724221855092622,6,1.013862119118048,1,1.1370889287206782,1.074564382737556,2001.0,1.1168888679613043,2,608,1.0092342322053793,1.0115851166802203,1.0304706033091076,0,42,0,0,0,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,0,9,2008,0.9584384834985059,0.9683896829793187
3,3,3,0.0,9550,7,7,4,3.5,7,3.5,0.5440680443502757,1.1641793790583685,3,1.1610124673959046,7,1,1915,1970,0.9478378436248188,0.9938231854706513,0.8282149855002685,0.8675503295608331,103.68526170798899,0.7978131736052377,1.0172102574831825,0.7312082738088806,0.778017288074308,0.9641913762741758,1.0,0.89305770607269,216,1.008789213181133,0,540,756,1.0060799923542767,0.867001075232271,1.029103908880242,1.0325525239526936,961,756,0,1717,1,0,1,0,3,1,1.1724221855092622,7,1.013862119118048,1,0.9480673434968409,0.7411578401898276,1998.0,0.7603888530823646,3,642,1.0092342322053793,1.0115851166802203,1.0304706033091076,0,35,272,0,0,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,0,2,2006,0.9584384834985059,0.809891970043861
4,4,3,0.0,14260,7,7,4,3.5,7,4,0.5440680443502757,1.8532671941670589,3,1.1610124673959046,8,1,2000,2000,0.9478378436248188,0.9938231854706513,1.1813590990208676,1.1313869052363548,103.68526170798899,1.2803005701234065,1.0172102574831825,1.2449090938831395,1.120313614813686,1.0149867736409819,1.0,1.3011948043848354,655,1.008789213181133,0,490,1145,1.0060799923542767,1.1878897223295897,1.029103908880242,1.0325525239526936,1145,1053,0,2198,1,0,2,1,4,1,1.1724221855092622,9,1.013862119118048,1,1.1370889287206782,1.074564382737556,2000.0,1.1168888679613043,3,836,1.0092342322053793,1.0115851166802203,1.0304706033091076,192,84,0,0,0,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,0,12,2008,0.9584384834985059,0.9683896829793187
5,2,3,0.0,14115,7,7,4,3.5,7,3.5,0.5440680443502757,0.8637469019585565,3,0.7910446288804662,5,1,1993,1995,0.9478378436248188,0.9938231854706513,1.1813590990208676,0.8675503295608331,103.68526170798899,0.7978131736052377,1.0172102574831825,1.026229490430354,1.120313614813686,1.0149867736409819,1.0,1.3011948043848354,732,1.008789213181133,0,64,796,1.0060799923542767,1.1878897223295897,1.029103908880242,1.0325525239526936,796,566,0,1362,1,0,1,1,1,1,0.7736103604433672,5,1.013862119118048,0,0.9480673434968409,1.074564382737556,1993.0,0.7603888530823646,2,480,1.0092342322053793,1.0115851166802203,1.0304706033091076,40,30,0,320,0,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,700,10,2009,0.9584384834985059,0.9683896829793187
6,3,3,0.0,10084,7,7,3,3.5,7,3.5,0.5440680443502757,1.2457348410731335,3,0.9727189625036077,8,1,2004,2005,0.9478378436248188,0.9938231854706513,1.1813590990208676,1.4679519649033907,103.68526170798899,1.2803005701234065,1.0172102574831825,1.2449090938831395,1.5210875633353251,1.0149867736409819,1.0,1.3011948043848354,1369,1.008789213181133,0,317,1686,1.0060799923542767,1.1878897223295897,1.029103908880242,1.0325525239526936,1694,0,0,1694,1,0,2,0,3,1,1.1724221855092622,7,1.013862119118048,1,0.9480673434968409,1.074564382737556,2004.0,1.1168888679613043,2,636,1.0092342322053793,1.0115851166802203,1.0304706033091076,255,57,0,0,0,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,0,8,2007,0.9584384834985059,0.9683896829793187
7,4,3,0.0,10382,7,7,4,3.5,7,3.5,0.5440680443502757,1.044930460263283,3,1.1610124673959046,7,0,1973,1973,0.9478378436248188,0.9938231854706513,0.9013728305733234,1.4679519649033907,103.68526170798899,0.7978131736052377,1.0172102574831825,0.8280163845577415,1.120313614813686,1.0149867736409819,1.0,0.89305770607269,859,0.835175775045872,32,216,1107,1.0060799923542767,1.1878897223295897,1.029103908880242,1.0325525239526936,1107,983,0,2090,1,0,2,1,3,1,0.7736103604433672,7,1.013862119118048,2,1.1370889287206782,1.074564382737556,1973.0,1.1168888679613043,2,484,1.0092342322053793,1.0115851166802203,1.0304706033091076,235,204,228,0,0,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,350,11,2009,0.9584384834985059,0.9683896829793187
8,2,2,0.0,6120,7,7,3,3.5,7,3.5,0.5440680443502757,0.7087356473291577,3,0.7910446288804662,7,1,1931,1950,0.9478378436248188,0.9938231854706513,1.0754571847836907,0.8675503295608331,103.68526170798899,0.7978131736052377,1.0172102574831825,0.7312082738088806,0.778017288074308,1.0149867736409819,1.0,0.9148694924363973,0,1.008789213181133,0,952,952,1.0060799923542767,0.867001075232271,1.029103908880242,0.5951510762158928,1022,752,0,1774,0,0,2,0,2,2,0.7736103604433672,8,0.80911185198907,2,1.1370889287206782,0.7411578401898276,1931.0,0.7603888530823646,2,468,0.6830230894644236,1.0115851166802203,1.0304706033091076,90,0,205,0,0,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,0,4,2008,0.9584384834985059,0.809891970043861
9,2,3,0.0,7420,7,7,3,3.5,7,3.5,0.5440680443502757,0.6899913031735287,2,0.6088286088199469,5,0,1939,1950,0.9478378436248188,0.9938231854706513,0.8258964713191288,0.8675503295608331,103.68526170798899,0.7978131736052377,1.0172102574831825,0.7312082738088806,0.778017288074308,1.0149867736409819,1.0,1.3011948043848354,851,1.008789213181133,0,140,991,1.0060799923542767,1.1878897223295897,1.029103908880242,1.0325525239526936,1077,0,0,1077,1,0,1,0,2,2,0.7736103604433672,5,1.013862119118048,2,1.1370889287206782,1.074564382737556,1939.0,1.1168888679613043,1,205,1.193120094211997,1.0115851166802203,1.0304706033091076,0,4,0,0,0,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,0,1,2008,0.9584384834985059,0.9683896829793187
