Id,SalePrice
1461,120954.03449567428
1462,190788.77814780394
1463,180976.45061821918
1464,212039.44816643765
1465,224024.96797342398
1466,177407.57716905276
1467,171113.41566983584
1468,165000.0003487733
1469,200659.1484046365
1470,93190.06671783511
1471,194767.96444790156
1472,94398.0135347968
1473,79619.58000638601
1474,139423.5934284604
1475,114904.87704392403
1476,370605.18220544886
1477,253771.92502850646
1478,303301.14086951525
1479,303683.7609135057
1480,422993.7666224146
1481,292771.9673214324
1482,241154.80612881525
1483,191861.02573783704
1484,193619.4221533568
1485,205965.02791867938
1486,217078.75527174535
1487,311229.5502297906
1488,230496.40815447012
1489,206618.24041558223
1490,223006.44981706046
1491,208514.13876400513
1492,105416.35251048786
1493,188564.32282859503
1494,265804.25842126575
1495,270318.1276648368
1496,225146.0618169681
1497,176444.47876693014
1498,165356.58925753893
1499,172615.953000408
1500,160471.27228777597
1501,175001.10220111322
1502,151684.48851536444
1503,257067.50632344422
1504,249035.8671569662
1505,222044.18082614147
1506,200173.11862879872
1507,238798.8672257977
1508,180143.99761500253
1509,151684.4093198173
1510,144521.8310729798
1511,134300.00670466726
1512,179717.65178024906
1513,164274.0738388851
1514,148334.2296260315
1515,218256.3053148839
1516,172852.64203729955
1517,184456.87151313407
1518,130127.22556299073
1519,231715.48247123926
1520,124822.6922458056
1521,134163.65527127354
1522,187715.51499243706
1523,114172.94060800722
1524,116002.9653289518
1525,111658.48722532086
1526,108338.50271038359
1527,103829.14869954294
1528,147900.14266728723
1529,132286.5130448171
1530,195959.42611490886
1531,134728.52418196868
1532,93313.03309707271
1533,134503.5754286686
1534,115270.31583401476
1535,157209.35072124514
1536,111992.85097864814
1537,36535.10432154636
1538,176178.94770353098
1539,209493.79199079864
1540,123119.019745826
1541,121361.03419678911
1542,167345.71103312643
1543,202979.48138901356
1544,76877.22305939902
1545,103115.39992563866
1546,136512.52264405516
1547,145647.83513034516
1548,138184.10680864807
1549,100910.10989228703
1550,128865.2517441696
1551,106212.33387115304
1552,139633.8486324858
1553,180451.36852793462
1554,122875.49025539294
1555,174463.449736119
1556,105357.04867268764
1557,106427.07515988432
1558,100405.68591535356
1559,111931.36938859298
1560,122500.80493855852
1561,132524.67631046494
1562,129095.39668116902
1563,131894.53365942647
1564,161135.60086863997
1565,152852.11310955937
1566,235442.78454373006
1567,88394.25220967733
1568,226838.7331651684
1569,109354.11560776233
1570,144769.5043229712
1571,86596.94652080696
1572,113497.3583158429
1573,246548.0438072244
1574,129635.84780384463
1575,249693.36420232532
1576,239737.65698392756
1577,200164.4656567735
1578,141178.29825900457
1579,121499.4647129052
1580,183436.30765877312
1581,149119.98701746875
1582,98450.39478938628
1583,277126.75477184914
1584,236110.67870254486
1585,155486.31810463077
1586,67407.22533490128
1587,105292.55222615847
1588,135784.000843595
1589,101439.43108053177
1590,118362.42906460373
1591,100800.61236518362
1592,117087.86407906815
1593,117033.34958976609
1594,144869.81943821345
1595,138017.1323599829
1596,218859.04654157927
1597,164993.37605412476
1598,195843.53299969618
1599,212915.35807658496
1600,220689.82309166677
1601,21881.17720251408
1602,128325.25441246227
1603,61329.58451137887
1604,287910.1265296221
1605,254378.2607428387
1606,176598.7281357031
1607,174670.29901667012
1608,218134.00664316068
1609,206508.04152036263
1610,139201.90911982275
1611,143583.20897422705
1612,178753.05772556117
1613,168825.4830542977
1614,143303.23823719888
1615,91968.99595932462
1616,73349.13153938387
1617,68059.6331120515
1618,113159.12948876308
1619,147162.1578870874
1620,192989.25539792105
1621,132407.97234547263
1622,148561.24507164673
1623,273441.9928100051
1624,230196.22593338913
1625,107218.95840657371
1626,169747.18675448417
1627,184030.30122989623
1628,270723.03876237385
1629,191633.34344022963
1630,320277.0146029894
1631,208807.8114142718
1632,248234.20718315113
1633,200096.2150767274
1634,195270.10962846116
1635,185653.61614073763
1636,166698.8653317239
1637,193185.66867439516
1638,222985.0747953299
1639,184616.87557502787
1640,257354.73723666577
1641,169771.7049067977
1642,252764.96761413533
1643,229412.47463247398
1644,246493.73900223846
1645,191780.20203618027
1646,151597.14905788816
1647,145009.9957179939
1648,132153.74006871288
1649,140753.53699113775
1650,103770.44385108698
1651,103678.81520893608
1652,85227.85062833174
1653,86464.71434115336
1654,132079.0203770734
1655,118129.65622716906
1656,130186.74332536568
1657,141762.12504143312
1658,145374.98119844028
1659,119613.55102669829
1660,152016.2284268925
1661,390326.21212218143
1662,349796.0907383752
1663,348279.3533579152
1664,332607.8951885946
1665,316524.4317015945
1666,276287.53827359877
1667,328274.0009171376
1668,335951.04523882223
1669,293009.9802461772
1670,329812.02952067286
1671,252131.06677546803
1672,356091.4257014601
1673,279687.6706458132
1674,243098.35372948085
1675,206732.06233924066
1676,216244.68794045094
1677,232169.25950032167
1678,430531.85510857217
1679,331878.7751011221
1680,351482.5831634449
1681,297708.13774905284
1682,281025.3213477414
1683,217120.3796991425
1684,205156.9349794774
1685,191243.56669406497
1686,193878.594925191
1687,185515.22571948587
1688,213324.0778805555
1689,218555.78071662757
1690,217832.1118916855
1691,211058.03604006415
1692,254916.03119145284
1693,192898.90290309486
1694,180900.3838886814
1695,170648.64517832463
1696,261304.79512747584
1697,170290.12907838097
1698,307581.1166581614
1699,273231.9601384951
1700,251680.49870964253
1701,276364.25406866823
1702,237842.53603168225
