,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
0,3,2,0.0,11622,7,7,3,3.5,7,3.5,0.5440680443502757,7,3,0.9727189625036077,5,0,1961,1961,0.9478378436248188,0.9938231854706513,1.1813590990208676,0.8675503295608331,100.70914127423822,0.7978131736052377,1.0172102574831825,0.8280163845577415,0.778017288074308,1.0149867736409819,1.0,0.8118962921805785,0.908484656128089,1.0060799923542767,0.7868778197467668,1.029103908880242,1.0325525239526936,896,0,0,896,1,0,2,1,0.7736103604433672,5,1.013862119118048,0,0.9480673434968409,1.074564382737556,0.7603888530823646,1.0092342322053793,1.0115851166802203,1.0304706033091076,140,0,0,0,120,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,0,6,2010,0.9584384834985059,0.9683896829793187
1,3,3,0.0,14267,7,7,4,3.5,7,3.5,0.5440680443502757,7,3,0.9727189625036077,6,0,1958,1958,1.2097915475808234,0.9938231854706513,0.8282149855002685,1.1313869052363548,100.70914127423822,0.7978131736052377,1.0172102574831825,0.8280163845577415,0.778017288074308,1.0149867736409819,1.0,0.89305770607269,1.008789213181133,1.0060799923542767,0.7868778197467668,1.029103908880242,1.0325525239526936,1329,0,0,1329,1,1,3,1,1.1724221855092622,6,1.013862119118048,0,0.9480673434968409,1.074564382737556,0.7603888530823646,1.0092342322053793,1.0115851166802203,1.0304706033091076,393,36,0,0,0,0,0.9973908134322019,1.0116663229381453,0.9437810708670534,12500,6,2010,0.9584384834985059,0.9683896829793187
2,4,3,0.0,13830,7,7,4,3.5,7,3.5,0.5440680443502757,7,3,1.1610124673959046,5,1,1997,1998,0.9478378436248188,0.9938231854706513,1.1813590990208676,0.8675503295608331,100.70914127423822,0.7978131736052377,1.0172102574831825,1.2449090938831395,1.120313614813686,1.0149867736409819,1.0,1.3011948043848354,1.008789213181133,1.0060799923542767,0.867001075232271,1.029103908880242,1.0325525239526936,928,701,0,1629,2,1,3,1,0.7736103604433672,6,1.013862119118048,1,1.1370889287206782,1.074564382737556,1.3268356378006463,1.0092342322053793,1.0115851166802203,1.0304706033091076,212,34,0,0,0,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,0,3,2010,0.9584384834985059,0.9683896829793187
3,4,3,0.0,9978,7,7,4,3.5,7,3.5,0.5440680443502757,7,3,1.1610124673959046,6,0,1998,1998,0.9478378436248188,0.9938231854706513,1.1813590990208676,1.1313869052363548,100.70914127423822,0.7978131736052377,1.0172102574831825,1.2449090938831395,0.778017288074308,1.0149867736409819,1.0,1.3011948043848354,1.008789213181133,1.0060799923542767,1.1878897223295897,1.029103908880242,1.0325525239526936,926,678,0,1604,2,1,3,1,1.1724221855092622,7,1.013862119118048,1,0.9480673434968409,1.074564382737556,1.3268356378006463,1.0092342322053793,1.0115851166802203,1.0304706033091076,360,36,0,0,0,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,0,6,2010,0.9584384834985059,0.9683896829793187
4,3,3,0.0,5005,7,7,4,4.5,7,3.5,0.5440680443502757,7,3,0.9727189625036077,8,1,1992,1992,0.9478378436248188,0.9938231854706513,0.9013728305733234,0.8675503295608331,100.70914127423822,1.2803005701234065,1.0172102574831825,1.2449090938831395,1.120313614813686,1.0149867736409819,1.0,0.89305770607269,1.008789213181133,1.0060799923542767,1.1878897223295897,1.029103908880242,1.0325525239526936,1280,0,0,1280,2,0,2,1,1.1724221855092622,5,1.013862119118048,0,0.9480673434968409,1.074564382737556,1.1168888679613043,1.0092342322053793,1.0115851166802203,1.0304706033091076,0,82,0,0,144,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,0,1,2010,0.9584384834985059,0.9683896829793187
5,4,3,0.0,10000,7,7,4,3.5,7,3.5,0.5440680443502757,7,3,1.1610124673959046,6,1,1993,1994,0.9478378436248188,0.9938231854706513,0.9013728305733234,0.8675503295608331,100.70914127423822,0.7978131736052377,1.0172102574831825,1.2449090938831395,1.120313614813686,1.0149867736409819,1.0,0.9148694924363973,1.008789213181133,1.0060799923542767,0.867001075232271,1.029103908880242,1.0325525239526936,763,892,0,1655,2,1,3,1,0.7736103604433672,7,1.013862119118048,1,1.1370889287206782,1.074564382737556,1.3268356378006463,1.0092342322053793,1.0115851166802203,1.0304706033091076,157,84,0,0,0,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,0,4,2010,0.9584384834985059,0.9683896829793187
6,3,3,0.0,7980,7,7,4,3.5,7,3.5,0.5440680443502757,7,3,0.9727189625036077,6,0,1992,2007,0.9478378436248188,0.9938231854706513,0.9013728305733234,0.8675503295608331,100.70914127423822,0.7978131736052377,0.9335421848275682,1.2449090938831395,1.120313614813686,1.0149867736409819,1.0,0.89305770607269,1.008789213181133,1.0060799923542767,1.1878897223295897,1.029103908880242,1.0325525239526936,1187,0,0,1187,2,0,3,1,0.7736103604433672,6,1.013862119118048,0,0.9480673434968409,1.074564382737556,1.3268356378006463,1.0092342322053793,1.0115851166802203,1.0304706033091076,483,21,0,0,0,0,0.9973908134322019,0.9889800735978997,1.0004752538286583,500,3,2010,0.9584384834985059,0.9683896829793187
7,4,3,0.0,8402,7,7,4,3.5,7,3.5,0.5440680443502757,7,3,1.1610124673959046,6,1,1998,1998,0.9478378436248188,0.9938231854706513,1.1813590990208676,0.8675503295608331,100.70914127423822,0.7978131736052377,1.0172102574831825,1.2449090938831395,1.120313614813686,1.0149867736409819,1.0,0.9148694924363973,1.008789213181133,1.0060799923542767,0.867001075232271,1.029103908880242,1.0325525239526936,789,676,0,1465,2,1,3,1,0.7736103604433672,7,1.013862119118048,1,0.9480673434968409,1.074564382737556,1.3268356378006463,1.0092342322053793,1.0115851166802203,1.0304706033091076,0,75,0,0,0,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,0,5,2010,0.9584384834985059,0.9683896829793187
8,3,3,0.0,10176,7,7,3,3.5,7,3.5,0.5440680443502757,7,3,0.9727189625036077,7,1,1990,1990,0.9478378436248188,0.9938231854706513,0.9013728305733234,0.8675503295608331,100.70914127423822,0.7978131736052377,1.0172102574831825,1.2449090938831395,1.120313614813686,1.0149867736409819,1.0,1.3011948043848354,1.008789213181133,1.0060799923542767,0.867001075232271,1.029103908880242,1.0325525239526936,1341,0,0,1341,1,1,2,1,1.1724221855092622,5,1.013862119118048,1,0.7172412793391095,1.074564382737556,0.7603888530823646,1.0092342322053793,1.0115851166802203,1.0304706033091076,192,0,0,0,0,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,0,2,2010,0.9584384834985059,0.9683896829793187
9,3,3,0.0,8400,7,7,3,3.5,7,3.5,0.5440680443502757,7,3,0.9727189625036077,4,1,1970,1970,0.9478378436248188,0.9938231854706513,0.9724807464582694,0.8675503295608331,100.70914127423822,0.7978131736052377,1.0172102574831825,0.8280163845577415,0.778017288074308,1.0149867736409819,1.0,0.89305770607269,0.911541231075681,1.0060799923542767,0.7868778197467668,1.029103908880242,1.0325525239526936,882,0,0,882,1,0,2,1,0.7736103604433672,4,1.013862119118048,0,0.9480673434968409,1.074564382737556,1.3268356378006463,1.0092342322053793,1.0115851166802203,1.0304706033091076,240,0,0,0,0,0,0.9973908134322019,1.0116663229381453,1.0004752538286583,0,4,2010,0.9584384834985059,0.9683896829793187
